director_name,actor_1_name,actor_2_name,actor_3_name,title_year,movie_title,genres,comb
Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,2008.0,miracle at st. anna,Action Crime Drama Thriller War,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action Crime Drama Thriller War
Yimou Zhang,Li Gong,Ye Liu,Man Li,2006.0,curse of the golden flower,Drama Romance,Li Gong Ye Liu Man Li Yimou Zhang Drama Romance
Danny Pang,Nicolas Cage,Charlie Yeung,James With,2008.0,bangkok dangerous,Action Crime Thriller,Nicolas Cage Charlie Yeung James With Danny Pang Action Crime Thriller
Barry Sonnenfeld,Zooey Deschanel,Janeane Garofalo,Omar Epps,2002.0,big trouble,Comedy Crime Thriller,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy Crime Thriller
Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,2007.0,love in the time of cholera,Drama Romance,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama Romance
unknown,Pierre Perrier,Clotilde Hesme,Céline Sallette,unknown,the returned            ,Drama Fantasy Horror Mystery,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama Fantasy Horror Mystery
George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,1997.0,shadow conspiracy,Action Thriller,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,2011.0,johnny english reborn,Action Adventure Comedy Crime,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,2012.0,foodfight!,Action Animation Comedy Family Fantasy,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,2012.0,argo,Biography Drama History Thriller,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,1993.0,the fugitive,Action Adventure Crime Drama Mystery Thriller,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,2010.0,the bounty hunter,Action Comedy Romance,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver,1996.0,sleepers,Crime Drama Thriller,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,1985.0,rambo: first blood part ii,Action Adventure Thriller War,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,1996.0,the juror,Drama Thriller,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,1940.0,pinocchio,Animation Family Fantasy Musical,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,1980.0,heaven's gate,Adventure Drama Western,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,2006.0,underworld: evolution,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,2000.0,finding forrester,Drama,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,2000.0,28 days,Comedy Drama,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,2005.0,unleashed,Action Crime Drama Thriller,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
Roger Kumble,Judith Chapman,Lillian Adams,Chelsea Bond,2002.0,the sweetest thing,Comedy Romance,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,1993.0,the firm,Drama Mystery Thriller,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,2010.0,charlie st. cloud,Drama Fantasy Romance,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
Simon West,Jason Statham,Tony Goldwyn,Mini Anden,2011.0,the mechanic,Action Crime Thriller,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,2012.0,21 jump street,Action Comedy Crime,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
Roger Michell,Julia Roberts,Clarke Peters,Dylan Moran,1999.0,notting hill,Comedy Drama Romance,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,2000.0,chicken run,Adventure Animation Comedy Drama Family,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
John Hamburg,Philip Seymour Hoffman,Masi Oka,Debra Messing,2004.0,along came polly,Comedy Romance,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,1992.0,boomerang,Comedy Drama Romance,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,2013.0,the heat,Action Comedy Crime,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,1963.0,cleopatra,Biography Drama History Romance,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
Frank Coraci,Salma Hayek,Reggie Lee,Charice,2012.0,here comes the boom,Action Comedy Sport,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,2002.0,high crimes,Crime Drama Mystery Thriller,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,1996.0,the mirror has two faces,Comedy Drama Romance,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
Mark Pellington,Debra Messing,Will Patton,David Eigenberg,2002.0,the mothman prophecies,Drama Horror Mystery Thriller,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
Larry Charles,Bono,Elton John,Slash,2009.0,brüno,Comedy,Bono Elton John Slash Larry Charles Comedy
John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,1989.0,licence to kill,Action Adventure Thriller,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,2011.0,red riding hood,Fantasy Horror Mystery Thriller,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,2001.0,15 minutes,Action Crime Drama Thriller,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,1993.0,super mario bros.,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,2005.0,lord of war,Crime Drama Thriller,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,2012.0,one for the money,Action Comedy Crime Romance Thriller,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
Evan Goldberg,James Franco,Randall Park,Anders Holm,2014.0,the interview,Comedy,James Franco Randall Park Anders Holm Evan Goldberg Comedy
Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,2010.0,the warrior's way,Action Fantasy Western,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
unknown,Tim Conway,Gavin MacLeod,Bob Hastings,unknown,mchale's navy            ,Comedy War,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,2009.0,micmacs,Action Comedy Crime,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,2002.0,8 mile,Drama Music,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,2015.0,animal kingdom: let's go ape,Adventure Animation Comedy Family,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,2001.0,a knight's tale,Action Adventure Romance,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,2003.0,the medallion,Action Comedy Fantasy,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,1999.0,the sixth sense,Drama Mystery Thriller,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,2012.0,man on a ledge,Action Crime Thriller,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,2011.0,the big year,Comedy,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
David O. Russell,Jennifer Lawrence,Christian Bale,Bradley Cooper,2013.0,american hustle,Crime Drama,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
Anne Fletcher,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,2009.0,the proposal,Comedy Drama Romance,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy Drama Romance
Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,1999.0,double jeopardy,Crime Mystery Thriller,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,1989.0,back to the future part ii,Adventure Comedy Sci-Fi,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi
Luc Besson,Scarlett Johansson,Morgan Freeman,Amr Waked,2014.0,lucy,Action Sci-Fi Thriller,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action Sci-Fi Thriller
Sam Taylor-Johnson,Jennifer Ehle,Luke Grimes,Callum Rennie,2015.0,fifty shades of grey,Drama Romance,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama Romance
Robert Rodriguez,Sylvester Stallone,Salma Hayek,Alexa PenaVega,2003.0,spy kids 3-d: game over,Action Adventure Comedy Family Sci-Fi,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Joel Schumacher,Kevin Spacey,Matthew McConaughey,Oliver Platt,1996.0,a time to kill,Crime Drama Thriller,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime Drama Thriller
Shawn Levy,Tom Welling,Alyson Stoner,Bonnie Hunt,2003.0,cheaper by the dozen,Comedy Family,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy Family
Peter Berg,Jerry Ferrara,Scott Elrod,Dan Bilzerian,2013.0,lone survivor,Action Biography Drama Thriller War,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action Biography Drama Thriller War
Penny Marshall,Tom Hanks,Lori Petty,Rosie O'Donnell,1992.0,a league of their own,Comedy Drama Sport,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy Drama Sport
James Wan,Javier Botet,Frances O'Connor,Robin Atkin Downes,2016.0,the conjuring 2,Horror Mystery Thriller,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
David Fincher,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,2010.0,the social network,Biography Drama,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography Drama
Ken Kwapis,Carmen Perez,Sabrina Revelle,Sachiko Ishida,2009.0,he's just not that into you,Comedy Drama Romance,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy Drama Romance
David Zucker,Beau Mirchoff,Carmen Electra,Regina Hall,2006.0,scary movie 4,Comedy,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
Wes Craven,Kelly Rutherford,Roger Jackson,Nancy O'Dell,2000.0,scream 3,Horror Mystery,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,1990.0,back to the future part iii,Adventure Comedy Sci-Fi Western,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi Western
Etan Cohen,Will Ferrell,Alison Brie,Craig T. Nelson,2015.0,get hard,Comedy Crime,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy Crime
Francis Ford Coppola,Keanu Reeves,Anthony Hopkins,Gary Oldman,1992.0,bram stoker's dracula,Fantasy Horror Romance,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy Horror Romance
Nora Ephron,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,2009.0,julie & julia,Biography Drama Romance,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography Drama Romance
Brian Helgeland,Harrison Ford,Christopher Meloni,Nicole Beharie,2013.0,42,Biography Drama Sport,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography Drama Sport
Anthony Minghella,Philip Seymour Hoffman,Matt Damon,Jack Davenport,1999.0,the talented mr. ripley,Crime Drama Thriller,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime Drama Thriller
Bobby Farrelly,Bill Murray,Kathleen Turner,Rob Riggle,2014.0,dumb and dumber to,Comedy,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
Frank Marshall,Paul Walker,Bruce Greenwood,Wendy Crewson,2006.0,eight below,Adventure Drama Family,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure Drama Family
Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,2015.0,the intern,Comedy Drama,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy Drama
Tim Story,Olivia Munn,Nadine Velazquez,Bruce McGill,2016.0,ride along 2,Action Comedy,Olivia Munn Nadine Velazquez Bruce McGill Tim Story Action Comedy
Michael Mann,Wes Studi,Terry Kinney,Eric Schweig,1992.0,the last of the mohicans,Action Adventure Drama Romance War,Wes Studi Terry Kinney Eric Schweig Michael Mann Action Adventure Drama Romance War
Taylor Hackford,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,2004.0,ray,Biography Drama Music,Bokeem Woodbine Curtis Armstrong Harry Lennix Taylor Hackford Biography Drama Music
Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas,2005.0,sin city,Crime Thriller,Rosario Dawson Powers Boothe Jason Douglas Frank Miller Crime Thriller
Pete Travis,Dennis Quaid,Edgar Ramírez,William Hurt,2008.0,vantage point,Crime Drama Mystery Thriller,Dennis Quaid Edgar Ramírez William Hurt Pete Travis Crime Drama Mystery Thriller
John Hamburg,J.K. Simmons,Jon Favreau,Jane Curtin,2009.0,"i love you, man",Comedy Romance,J.K. Simmons Jon Favreau Jane Curtin John Hamburg Comedy Romance
Bobby Farrelly,Jason Alexander,Bruce McGill,Susan Ward,2001.0,shallow hal,Comedy Drama Fantasy Romance,Jason Alexander Bruce McGill Susan Ward Bobby Farrelly Comedy Drama Fantasy Romance
Oliver Stone,Sally Kirkland,Jay O. Sanders,Cheryl Penland,1991.0,jfk,Drama History Thriller,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama History Thriller
John Whitesell,Chloë Grace Moretz,Nia Long,Marisol Nichols,2006.0,big momma's house 2,Comedy Crime,Chloë Grace Moretz Nia Long Marisol Nichols John Whitesell Comedy Crime
Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts,2001.0,the mexican,Adventure Comedy Crime Romance,J.K. Simmons Brad Pitt Julia Roberts Gore Verbinski Adventure Comedy Crime Romance
Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,2014.0,unbroken,Biography Drama Sport War,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography Drama Sport War
Burr Steers,Matthew Perry,Hunter Parrish,Thomas Lennon,2009.0,17 again,Comedy Drama Family Fantasy Romance,Matthew Perry Hunter Parrish Thomas Lennon Burr Steers Comedy Drama Family Fantasy Romance
Nick Cassavetes,Don Johnson,Kate Upton,David Thornton,2014.0,the other woman,Comedy Romance,Don Johnson Kate Upton David Thornton Nick Cassavetes Comedy Romance
David R. Ellis,Krista Allen,Andrew Fiscella,Shantel VanSanten,2009.0,the final destination,Horror,Krista Allen Andrew Fiscella Shantel VanSanten David R. Ellis Horror
Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan,2015.0,bridge of spies,Drama History Thriller,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama History Thriller
John Moore,Joaquim de Almeida,David Keith,Sam Jaeger,2001.0,behind enemy lines,Action Drama Thriller War,Joaquim de Almeida David Keith Sam Jaeger John Moore Action Drama Thriller War
Nicholas Stoller,Pink,Mario Lopez,Lino Facioli,2010.0,get him to the greek,Comedy Music,Pink Mario Lopez Lino Facioli Nicholas Stoller Comedy Music
Peter Chelsom,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,2004.0,shall we dance,Comedy Drama Romance,Lisa Ann Walter Nick Cannon Omar Benson Miller Peter Chelsom Comedy Drama Romance
Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo,1998.0,small soldiers,Action Adventure Comedy Family Sci-Fi,Kirsten Dunst Denis Leary Robert Picardo Joe Dante Action Adventure Comedy Family Sci-Fi
Mark A.Z. Dippé,Michael Jai White,Frank Welker,Miko Hughes,1997.0,spawn,Action Horror,Michael Jai White Frank Welker Miko Hughes Mark A.Z. Dippé Action Horror
Kevin Reynolds,Henry Cavill,James Frain,Michael Wincott,2002.0,the count of monte cristo,Action Adventure Drama Romance Thriller,Henry Cavill James Frain Michael Wincott Kevin Reynolds Action Adventure Drama Romance Thriller
Brad Furman,Matthew McConaughey,Margarita Levieva,Frances Fisher,2011.0,the lincoln lawyer,Crime Drama Thriller,Matthew McConaughey Margarita Levieva Frances Fisher Brad Furman Crime Drama Thriller
Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,2006.0,the prestige,Drama Mystery Sci-Fi Thriller,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama Mystery Sci-Fi Thriller
Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane,2014.0,horrible bosses 2,Comedy Crime,Kevin Spacey Christoph Waltz Lindsay Sloane Sean Anders Comedy Crime
Cal Brunker,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,2013.0,escape from planet earth,Adventure Animation Comedy Family Sci-Fi,Brendan Fraser Paul Scheer Jonathan Morgan Heit Cal Brunker Adventure Animation Comedy Family Sci-Fi
Mel Gibson,Rudy Youngblood,Dalia Hernández,Jonathan Brewer,2006.0,apocalypto,Action Adventure Drama Thriller,Rudy Youngblood Dalia Hernández Jonathan Brewer Mel Gibson Action Adventure Drama Thriller
John Glen,Joe Don Baker,Desmond Llewelyn,Art Malik,1987.0,the living daylights,Action Adventure Thriller,Joe Don Baker Desmond Llewelyn Art Malik John Glen Action Adventure Thriller
Nimród Antal,Topher Grace,Alice Braga,Derek Mears,2010.0,predators,Action Adventure Sci-Fi Thriller,Topher Grace Alice Braga Derek Mears Nimród Antal Action Adventure Sci-Fi Thriller
Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne,1986.0,legal eagles,Comedy Crime Romance,Brian Dennehy Debra Winger Roscoe Lee Browne Ivan Reitman Comedy Crime Romance
David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton,2004.0,secret window,Mystery Thriller,Johnny Depp Charles S. Dutton Timothy Hutton David Koepp Mystery Thriller
Alejandro Agresti,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,2006.0,the lake house,Drama Fantasy Romance,Keanu Reeves Dylan Walsh Ebon Moss-Bachrach Alejandro Agresti Drama Fantasy Romance
Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,2005.0,the skeleton key,Horror Mystery Thriller,Gena Rowlands Deneen Tyler Joy Bryant Iain Softley Horror Mystery Thriller
Peter Hedges,Jennifer Garner,Odeya Rush,Common,2012.0,the odd life of timothy green,Comedy Drama Family Fantasy,Jennifer Garner Odeya Rush Common Peter Hedges Comedy Drama Family Fantasy
Paul Weiland,Busy Philipps,Beau Garrett,Kevin Sussman,2008.0,made of honor,Comedy Romance,Busy Philipps Beau Garrett Kevin Sussman Paul Weiland Comedy Romance
Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance,2014.0,jersey boys,Biography Drama Music Musical,Johnny Cannizzaro Steve Schirripa Scott Vance Clint Eastwood Biography Drama Music Musical
Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen,1997.0,the rainmaker,Crime Drama Thriller,Matt Damon Dean Stockwell Virginia Madsen Francis Ford Coppola Crime Drama Thriller
Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,2003.0,gothika,Horror Mystery Thriller,Robert Downey Jr. Charles S. Dutton Bernard Hill Mathieu Kassovitz Horror Mystery Thriller
Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,1997.0,amistad,Drama History,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama History
John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,1992.0,medicine man,Adventure Drama Romance,Lorraine Bracco José Wilker Sean Connery John McTiernan Adventure Drama Romance
Colin Strause,Sam Trammell,Johnny Lewis,Ian Whyte,2007.0,aliens vs. predator: requiem,Action Horror Sci-Fi Thriller,Sam Trammell Johnny Lewis Ian Whyte Colin Strause Action Horror Sci-Fi Thriller
Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde,1994.0,ri¢hie ri¢h,Comedy Family,Macaulay Culkin John Larroquette Jonathan Hyde Donald Petrie Comedy Family
Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch,2000.0,autumn in new york,Drama Romance,J.K. Simmons Sam Trammell Elaine Stritch Joan Chen Drama Romance
Marc Lawrence,Brad Garrett,Scott Porter,Haley Bennett,2007.0,music and lyrics,Comedy Music Romance,Brad Garrett Scott Porter Haley Bennett Marc Lawrence Comedy Music Romance
Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,2011.0,paul,Adventure Comedy Sci-Fi,Bobby Lee Nelson Ascencio Jeremy Owen Greg Mottola Adventure Comedy Sci-Fi
Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee,2012.0,the guilt trip,Comedy Drama,Miriam Margolyes Tom Virtue Julene Renee Anne Fletcher Comedy Drama
Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,2011.0,scream 4,Horror Mystery,Alison Brie Aimee Teegarden Shenae Grimes-Beech Wes Craven Horror Mystery
Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,1999.0,8mm,Mystery Thriller,Nicolas Cage Chris Bauer Anthony Heald Joel Schumacher Mystery Thriller
Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,1991.0,the doors,Biography Drama Music Musical,Michael Wincott Kevin Dillon Kathleen Quinlan Oliver Stone Biography Drama Music Musical
Jake Kasdan,James Wilcox,Randall Park,Nat Faxon,2014.0,sex tape,Comedy,James Wilcox Randall Park Nat Faxon Jake Kasdan Comedy
Diane Keaton,Adam Arkin,Celia Weston,Jesse James,2000.0,hanging up,Comedy Drama,Adam Arkin Celia Weston Jesse James Diane Keaton Comedy Drama
Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,2011.0,final destination 5,Horror,Emma Bell Jacqueline MacInnes Wood Courtney B. Vance Steven Quale Horror
Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore,1999.0,mickey blue eyes,Comedy Crime Romance,Jeanne Tripplehorn Burt Young Vincent Pastore Kelly Makin Comedy Crime Romance
Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,2000.0,pay it forward,Drama,Kevin Spacey Haley Joel Osment Angie Dickinson Mimi Leder Drama
Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,2005.0,fever pitch,Comedy Drama Romance Sport,Jimmy Fallon KaDee Strickland Ione Skye Bobby Farrelly Comedy Drama Romance Sport
unknown,Bruce Dinsmore,Melissa Altro,Daniel Brochu,unknown,arthur            ,Animation Comedy Family,Bruce Dinsmore Melissa Altro Daniel Brochu unknown Animation Comedy Family
Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh,2008.0,drillbit taylor,Comedy Drama,Lisa Ann Walter Shaun Weiss Matt Walsh Steven Brill Comedy Drama
Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane,2014.0,a million ways to die in the west,Comedy Western,Liam Neeson Charlize Theron Seth MacFarlane Seth MacFarlane Comedy Western
Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos,1994.0,the shadow,Action Adventure Crime Fantasy Mystery Thriller,Jonathan Winters Peter Boyle John Kapelos Russell Mulcahy Action Adventure Crime Fantasy Mystery Thriller
Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,2011.0,extremely loud & incredibly close,Adventure Drama Mystery,Tom Hanks Thomas Horn Stephen Henderson Stephen Daldry Adventure Drama Mystery
Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,2010.0,morning glory,Comedy Drama Romance,Noah Bean Patti D'Arbanville Vanessa Aspillaga Roger Michell Comedy Drama Romance
Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,2005.0,get rich or die tryin',Biography Crime Drama Music,50 Cent Bill Duke Marc John Jefferies Jim Sheridan Biography Crime Drama Music
Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,2000.0,the art of war,Action Adventure Crime Thriller,Michael Biehn Cary-Hiroyuki Tagawa Anne Archer Christian Duguay Action Adventure Crime Thriller
Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,2005.0,rent,Drama Musical Romance,Rosario Dawson David Fine Jesse L. Martin Chris Columbus Drama Musical Romance
